Rome: The Punic Wars - The First Punic War - Extra History - #1,2013-09-06,4230211,54491,960,2827,EbBHk_zLTmY,553.0
Rome: The Punic Wars - The Second Punic War Begins - Extra History - #2,2013-09-13,2367691,30467,414,1514,lf0-Yki5p40,666.0
Rome: The Punic Wars - The Second Punic War Rages On - Extra History - #3,2013-09-20,2045980,28878,303,1782,wT_rev5VAQc,758.0
Rome: The Punic Wars - The Conclusion of the Second Punic War - Extra History - #4,2013-09-27,1876105,33886,262,2073,McT1H-NVCMQ,700.0
World War I: The Seminal Tragedy - The Concert of Europe - Extra History - #1,2014-08-31,2872177,41081,648,2862,S-wSL4WqUws,594.0
World War I: The Seminal Tragedy - One Fateful Day in June - Extra History - #2,2014-09-13,2105073,31403,454,2892,kyCmh9G1fpo,497.0
World War I: The Seminal Tragedy - The July Crisis - Extra History - #3,2014-09-27,1913342,25173,232,1265,zroZqvr4whk,519.0
World War I: The Seminal Tragedy - The Final Act - Extra History - #4,2014-10-11,1818091,38342,263,3994,WukYrrTH3ms,715.0
World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,703099,12783,223,985,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Battle of Okehazama - Extra History - #1,2014-11-08,3748502,47583,738,2346,hDsdkoln59A,563.0
Warring States Japan: Sengoku Jidai - The Siege of Inabayama Castle - Extra History - #2,2014-11-22,2445835,31044,309,1163,I2yT2nitGDk,461.0
Warring States Japan: Sengoku Jidai - Warrior Monks of Hongan-ji and Hiei - Extra History - #3,2014-12-06,2304260,29234,260,1561,G3frtoMaxZE,533.0
Warring States Japan: Sengoku Jidai - The Death of Oda Nobunaga - Extra History - #4,2014-12-20,2335443,28578,271,1754,ht6h4-MsMOY,560.0
Warring States Japan: Sengoku Jidai - How Toyotomi Unified Japan - Extra History - #5,2015-01-17,1935008,26014,238,1579,lBD8OAegEw0,542.0
Warring States Japan: Sengoku Jidai - The Campaign of Sekigahara - Extra History - #6,2015-01-31,1877570,31468,267,1643,5vscOHPFUf0,597.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,570372,8295,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - The Sharp Mind of John Blunt - Extra History - #1,2015-02-28,2542692,34877,477,1995,k1kndKWJKB8,549.0
England: South Sea Bubble - Too Big to Fail - Extra History - #2,2015-03-14,1782965,21611,249,1016,Fsk6oZm1EEA,513.0
England: South Sea Bubble - Buying Out Britain - Extra History - #3,2015-03-28,1612229,20317,168,921,1vcF5rebN20,576.0
England: South Sea Bubble - The Bubble Pops - Extra History - #4,2015-04-11,1438732,18900,154,577,SIlnsP6AjP8,416.0
England: South Sea Bubble - It Was Walpole - Extra History - #5,2015-04-25,1440133,24253,180,1645,a_1IpUCUuVc,530.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,493248,7717,169,698,NqeXXzKTzRU,1263.0
Africa: Zulu Empire - Shaka Zulu Becomes King - Extra History - #1,2015-05-16,2570329,38905,825,2837,BZLGKFWlRzY,452.0
Africa: Zulu Empire - The Wrath of Shaka Zulu - Extra History - #2,2015-05-23,1798013,24005,295,1528,GUpaZ0hMso4,517.0
Africa: Zulu Empire - Diamonds in South Africa - Extra History - #3,2015-05-30,1517643,20736,244,1233,-JG-5otw0O8,544.0
Africa: Zulu Empire - Last Stands and Changing Fortunes - Extra History - #4,2015-06-06,1428277,23056,243,2184,KG_mbCgp_zU,558.0
Zulu Empire - Lies - Extra History,2015-06-13,437112,6634,149,415,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - From Swineherd to Emperor - Extra History - #1,2015-06-20,2512704,31444,500,1528,H_2E0RxVHH4,489.0
